timestamp,ax,ay,az,gx,gy,gz,label
40830,0.0625,-0.088013,1.001221,11.657714,0.12207,1.708984,junk
40841,0.062622,-0.095459,0.99939,9.94873,-0.488281,0.915527,junk
40852,0.065063,-0.093262,0.996094,7.873535,-1.953125,-0.12207,junk
40863,0.066772,-0.08728,0.99292,6.408691,-6.774902,-1.770019,junk
40874,0.064453,-0.089233,0.994019,6.774902,-7.995605,-2.441406,junk
40886,0.058228,-0.095093,0.999268,6.347656,-6.958007,-2.929687,junk
40897,0.055176,-0.09436,1.006348,5.187988,-4.455566,-2.624511,junk
40908,0.058594,-0.085693,1.013916,3.90625,-1.89209,-1.464844,junk
40919,0.060913,-0.083008,1.013062,3.173828,-0.793457,-0.061035,junk
40930,0.060547,-0.080811,1.009521,3.112793,-1.525879,0.854492,junk
40942,0.059692,-0.081665,1.004395,3.90625,-3.845215,0.976562,junk
40953,0.058716,-0.089844,1.000122,5.493164,-6.713867,0.366211,junk
40964,0.055176,-0.103027,0.996216,6.713867,-9.338379,-1.037598,junk
40975,0.050781,-0.110229,0.993286,4.089355,-7.995605,-1.770019,junk
40986,0.048462,-0.105957,0.996216,0.915527,-5.554199,-2.380371,junk
40998,0.045898,-0.078125,1.010132,-0.976562,-3.173828,-2.502441,junk
41009,0.044067,-0.070923,1.006592,-0.305176,-1.342773,-1.464844,junk
41020,0.041138,-0.080444,1.001709,2.502441,0.305176,0.305176,junk
41031,0.03833,-0.101318,0.99707,5.004883,2.380371,2.01416,junk
41042,0.040283,-0.113525,0.992554,5.187988,4.211426,2.929687,junk
41054,0.045898,-0.110352,0.988892,2.929687,4.760742,2.563476,junk
41065,0.054688,-0.092407,0.987061,-3.662109,2.075195,-1.403808,junk
41076,0.063599,-0.070923,0.991699,-4.638672,0.366211,-2.929687,junk
41087,0.067749,-0.055542,0.998779,-2.807617,-0.854492,-2.868652,junk
41099,0.05603,-0.053833,1.009033,1.098633,-1.159668,-1.708984,junk
