timestamp,ax,ay,az,gx,gy,gz
173788,0.314209,-0.281494,0.929443,-1.342773,-2.502441,1.770019
173799,0.315674,-0.282349,0.926880,-0.366211,-1.892090,1.525879
173810,0.314941,-0.285889,0.925781,0.915527,-1.586914,1.159668
173821,0.312622,-0.291260,0.925537,1.647949,-1.586914,0.854492
173833,0.310181,-0.295898,0.924316,1.037598,-1.708984,0.244141
173844,0.307617,-0.298706,0.921631,0.244141,-1.464844,0.122070
173855,0.305664,-0.299683,0.919922,-0.671387,-1.037598,0.000000
173866,0.304932,-0.298340,0.920166,-1.586914,-0.549316,-0.183105
173877,0.307495,-0.287720,0.926758,-2.197266,-0.366211,-0.183105
173889,0.309204,-0.280640,0.930176,-2.136230,-0.305176,-0.122070
173900,0.308228,-0.275879,0.929077,-1.281738,-0.244141,-0.122070
173911,0.304688,-0.275513,0.924194,0.183105,0.244141,-0.244141
173922,0.299805,-0.279419,0.917725,1.770019,1.342773,-0.488281
173934,0.297852,-0.284180,0.911011,4.089355,4.150391,-0.732422
173945,0.301392,-0.287231,0.905518,4.272461,4.821777,-0.915527
173956,0.307373,-0.286133,0.901489,3.906250,4.577637,-1.159668
173967,0.310669,-0.281250,0.898926,3.662109,3.601074,-1.342773
173978,0.313599,-0.271973,0.898926,4.089355,2.563476,-1.586914
173990,0.316528,-0.268433,0.899780,5.004883,1.892090,-2.075195
174001,0.318848,-0.266968,0.900269,6.286621,1.464844,-2.807617
174012,0.319580,-0.271118,0.901367,8.483887,0.793457,-3.479004
174023,0.318237,-0.281616,0.903687,11.474608,0.000000,-4.150391
174034,0.314819,-0.295044,0.907593,16.662598,-1.159668,-5.249023
174046,0.310669,-0.307373,0.912231,17.456055,-0.976562,-5.310058
174057,0.307739,-0.315796,0.915161,17.089844,-0.427246,-5.187988
174068,0.311157,-0.291992,0.913086,17.333984,-0.305176,-5.126953
174080,0.316162,-0.268555,0.907837,21.484373,-1.281738,-5.310058
174091,0.322754,-0.239014,0.899536,31.799314,-3.540039,-6.530761
174102,0.328003,-0.206909,0.890625,48.583981,-7.080078,-9.216309
174113,0.326416,-0.201050,0.883057,71.960449,-11.779784,-13.183593
174125,0.314697,-0.240112,0.878906,128.906250,-19.653320,-20.080564
174136,0.295776,-0.313110,0.873291,149.719238,-19.836426,-21.545408
174147,0.278320,-0.386963,0.862915,158.691406,-18.066406,-21.850584
174159,0.268799,-0.435669,0.852173,159.179688,-15.991210,-21.240232
174170,0.264771,-0.500122,0.826416,156.616211,-14.038085,-20.263670
174181,0.268677,-0.503540,0.805054,153.930664,-12.756347,-19.775391
174193,0.270630,-0.499634,0.783325,153.015137,-13.000487,-20.263670
174204,0.270996,-0.495117,0.762207,155.883789,-14.709472,-21.606443
174216,0.268921,-0.495972,0.741333,175.109848,-19.714355,-24.291990
174227,0.261963,-0.518066,0.722168,189.270004,-21.850584,-25.085447
174238,0.252930,-0.553345,0.700928,203.308090,-23.681639,-25.939939
174250,0.243286,-0.578857,0.649536,216.918930,-26.184080,-27.282713
174261,0.235596,-0.598755,0.625000,233.520493,-29.785154,-29.052732
174273,0.221069,-0.655884,0.601196,254.760727,-32.775879,-30.578611
174284,0.199341,-0.737915,0.572998,276.672363,-33.203125,-31.372068
174295,0.180786,-0.810669,0.538940,291.381836,-30.334471,-31.616209
174307,0.171875,-0.858887,0.500854,291.687012,-20.385740,-28.808592
174318,0.172729,-0.888306,0.456909,286.560059,-16.357422,-25.024412
174329,0.177856,-0.898682,0.406616,284.423828,-13.488769,-21.362303
174341,0.177490,-0.892944,0.294800,286.865234,-11.352538,-19.531250
174352,0.174561,-0.907471,0.240723,293.029785,-9.460449,-19.714355
174364,0.176270,-0.940430,0.192261,300.048828,-7.995605,-20.507811
174375,0.180176,-0.971191,0.149658,304.138184,-7.751464,-20.202635
174386,0.180542,-0.991699,0.108032,297.546387,-10.131835,-15.869140
174398,0.181274,-0.991699,0.066162,289.123535,-12.084960,-14.038085
174409,0.180054,-0.978516,0.026001,281.494141,-13.916015,-13.061522
174420,0.171631,-0.973877,-0.013672,276.000977,-14.099120,-12.573241
174432,0.149902,-0.973999,-0.100342,271.850586,-11.901855,-12.268065
174443,0.146606,-0.978271,-0.141479,267.822266,-7.995605,-12.268065
174454,0.153809,-0.985229,-0.179932,262.207031,-3.662109,-12.634276
174466,0.165649,-0.984375,-0.219238,253.662094,-0.610352,-12.939452
174477,0.175415,-0.971069,-0.258667,232.604965,-2.929687,-10.925292
174488,0.176514,-0.968140,-0.298950,223.754868,-5.676269,-8.117676
174500,0.164795,-0.981323,-0.337402,213.500961,-6.774902,-5.249023
174511,0.146606,-0.986572,-0.370361,200.012192,-5.737304,-3.662109
174522,0.139404,-0.935303,-0.411377,183.593735,-3.723144,-4.028320
174534,0.148682,-0.899536,-0.425049,166.442856,-1.953125,-6.042480
174545,0.154419,-0.880615,-0.441040,151.000977,-0.732422,-8.728027
174556,0.152588,-0.880859,-0.456421,137.756348,0.427246,-10.986327
174568,0.146851,-0.877686,-0.468628,111.633293,3.784179,-12.817382
174579,0.143921,-0.852417,-0.479614,98.205559,5.249023,-13.549804
174591,0.144531,-0.823364,-0.493042,86.242668,5.920410,-14.404296
174602,0.146606,-0.806274,-0.528564,76.354980,5.371093,-14.648437
174613,0.143677,-0.797607,-0.546509,68.969727,3.601074,-13.732909
174625,0.137329,-0.783447,-0.559570,64.880371,1.098633,-11.657714
174636,0.129028,-0.773560,-0.570557,64.636230,-1.159668,-9.826660
174647,0.118652,-0.781494,-0.581787,67.260742,-1.831055,-9.521484
174659,0.111816,-0.800537,-0.593140,68.054199,2.136230,-12.084960
174670,0.111816,-0.817749,-0.602051,61.035152,5.187988,-12.512206
174681,0.114746,-0.833496,-0.610596,49.377438,8.178711,-11.596679
174693,0.119263,-0.870117,-0.638794,34.729004,10.864257,-9.338379
174704,0.118530,-0.883545,-0.650269,18.310547,12.634276,-6.103515
174715,0.116943,-0.883911,-0.657593,1.403808,13.610839,-2.685547
174726,0.114746,-0.875122,-0.662842,-14.404296,14.038085,0.122070
174738,0.112305,-0.866089,-0.664307,-28.015135,13.916015,2.136230
174749,0.111572,-0.860107,-0.661011,-46.752926,13.427733,4.882812
174761,0.112915,-0.859619,-0.654663,-52.124020,13.549804,5.981445
174772,0.115234,-0.866333,-0.645508,-56.518551,13.854980,7.263183
174783,0.120239,-0.906128,-0.625732,-62.255856,13.793944,9.033203
174795,0.119995,-0.928833,-0.614258,-71.228027,13.061522,11.413573
174806,0.114502,-0.953247,-0.601196,-83.435051,12.084960,14.465331
174817,0.108887,-0.977417,-0.584473,-98.144524,12.084960,18.188477
174829,0.108398,-0.995728,-0.564819,-114.868156,13.061522,22.399900
174840,0.114014,-1.005859,-0.545044,-151.855469,15.991210,29.663084
174851,0.122681,-1.007690,-0.523926,-169.677719,16.906738,31.555174
174863,0.130859,-1.001953,-0.500366,-184.570297,17.150879,32.104492
174874,0.136719,-1.011230,-0.448242,-195.861801,17.395020,32.226562
174885,0.139526,-1.025391,-0.420532,-205.200180,17.883301,33.142090
174897,0.141724,-1.040039,-0.390869,-214.904770,18.249512,34.973145
174908,0.145996,-1.050781,-0.360229,-226.196274,18.432617,36.926270
174920,0.156738,-1.049683,-0.331543,-238.891586,18.005371,38.391113
